iso3,country,region,year,gdp_pc_usd_const2015,agriculture_pct_gdp
ABW,Aruba,Latin America & Caribbean ,2024,33939.0,0.04
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",2024,374.4,34.293
AGO,Angola,Sub-Saharan Africa ,2024,2798.6,21.553
ALB,Albania,Europe & Central Asia,2024,6549.2,15.452
AND,Andorra,Europe & Central Asia,2024,41224.0,0.491
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",2024,41605.4,0.769
ARG,Argentina,Latin America & Caribbean ,2024,12774.4,5.806
ARM,Armenia,Europe & Central Asia,2024,5378.3,7.806
ATG,Antigua and Barbuda,Latin America & Caribbean ,2024,18304.6,1.611
AUS,Australia,East Asia & Pacific,2024,61486.4,2.036
AUT,Austria,Europe & Central Asia,2024,45958.8,1.217
AZE,Azerbaijan,Europe & Central Asia,2024,5876.0,5.583
BDI,Burundi,Sub-Saharan Africa ,2024,268.7,35.051
BEL,Belgium,Europe & Central Asia,2024,45019.7,0.792
BEN,Benin,Sub-Saharan Africa ,2024,1324.8,24.232
BFA,Burkina Faso,Sub-Saharan Africa ,2024,764.1,20.925
BGD,Bangladesh,South Asia,2024,1941.3,11.165
BGR,Bulgaria,Europe & Central Asia,2024,10127.4,2.351
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",2024,25886.2,0.245
BHS,"Bahamas, The",Latin America & Caribbean ,2024,33968.2,0.515
BIH,Bosnia and Herzegovina,Europe & Central Asia,2024,6747.0,4.496
BLR,Belarus,Europe & Central Asia,2024,6814.3,7.041
BLZ,Belize,Latin America & Caribbean ,2024,6290.5,7.948
BMU,Bermuda,North America,2024,116513.5,0.178
BOL,Bolivia,Latin America & Caribbean ,2024,3045.6,8.826
BRA,Brazil,Latin America & Caribbean ,2024,9566.7,5.752
BRB,Barbados,Latin America & Caribbean ,2024,22421.5,1.555
BRN,Brunei Darussalam,East Asia & Pacific,2024,29563.9,1.174
BTN,Bhutan,South Asia,2024,3717.2,14.149
BWA,Botswana,Sub-Saharan Africa ,2024,6952.3,1.762
CAF,Central African Republic,Sub-Saharan Africa ,2024,389.9,27.899
CAN,Canada,North America,2024,45061.4,1.933
CHE,Switzerland,Europe & Central Asia,2024,93018.4,0.609
CHI,Channel Islands,Europe & Central Asia,2023,69818.2,0.599
CHL,Chile,Latin America & Caribbean ,2024,14616.9,3.825
CHN,China,East Asia & Pacific,2024,13119.1,6.798
CIV,Cote d'Ivoire,Sub-Saharan Africa ,2024,2395.7,15.859
CMR,Cameroon,Sub-Saharan Africa ,2024,1480.7,18.462
COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,2024,554.1,10.083
COG,"Congo, Rep.",Sub-Saharan Africa ,2024,1671.7,9.44
COL,Colombia,Latin America & Caribbean ,2024,6865.3,9.496
COM,Comoros,Sub-Saharan Africa ,2024,1402.5,36.067
CPV,Cabo Verde,Sub-Saharan Africa ,2024,4438.4,4.947
CRI,Costa Rica,Latin America & Caribbean ,2024,15052.9,3.425
CUB,Cuba,Latin America & Caribbean ,2024,7381.4,1.24
CUW,Curacao,Latin America & Caribbean ,2024,18044.8,0.279
CYM,Cayman Islands,Latin America & Caribbean ,2024,84381.5,0.453
CYP,Cyprus,Europe & Central Asia,2024,32757.5,1.155
CZE,Czechia,Europe & Central Asia,2024,20449.1,1.899
DEU,Germany,Europe & Central Asia,2024,44027.8,0.914
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",2024,3290.4,2.512
DMA,Dominica,Latin America & Caribbean ,2024,9172.7,12.224
DNK,Denmark,Europe & Central Asia,2024,60772.9,0.928
DOM,Dominican Republic,Latin America & Caribbean ,2024,9168.5,4.454
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",2024,4765.7,13.96
ECU,Ecuador,Latin America & Caribbean ,2024,5993.7,9.236
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",2024,4137.6,13.712
ESP,Spain,Europe & Central Asia,2024,29245.2,2.753
