year,gdp_pc_usd_const2015,agriculture_pct_gdp,basis
1960,597.7,40.267,constant
1961,614.7,38.714,constant
1962,608.7,39.258,constant
1963,578.5,38.666,constant
1964,582.0,41.017,constant
1965,573.6,39.137,constant
1966,575.9,39.899,constant
1967,568.8,38.689,constant
1968,614.1,38.353,constant
1969,638.1,36.593,constant
1970,667.6,35.409,constant
1971,695.4,34.344,constant
1972,724.8,32.771,constant
1973,763.3,32.005,constant
1974,800.7,30.843,constant
1975,819.5,29.382,constant
1976,854.4,28.785,constant
1977,906.7,26.804,constant
1978,944.8,26.398,constant
1979,989.7,25.544,constant
1980,1061.8,24.456,constant
1981,1119.4,23.776,constant
1982,1118.4,23.747,constant
1983,1139.0,24.105,current
1984,1191.6,23.456,current
1985,1195.1,23.768,current
1986,1240.1,24.253,current
1987,1276.1,23.327,current
1988,1324.4,24.122,current
1989,1396.7,23.426,current
1990,1470.9,21.549,current
1991,1545.0,19.662,current
1992,1617.1,19.521,current
1993,1693.1,17.88,current
1994,1790.3,17.286,current
1995,1905.5,17.138,current
1996,2021.0,16.672,current
1997,2081.8,16.092,current
1998,1780.2,18.083,current
1999,1767.5,19.613,current
2000,1828.1,15.679,current
2001,1868.6,15.995,current
2002,1926.4,16.32,current
2003,1991.9,15.185,current
2004,2065.7,14.336,current
2005,2155.4,13.127,current
2006,2244.1,12.974,current
2007,2355.2,13.717,current
2008,2464.6,14.482,current
2009,2546.2,15.29,current
2010,2670.8,13.929,current
2011,2799.6,13.512,current
2012,2930.5,13.374,current
2013,3055.2,13.357,current
2014,3170.7,13.337,current
2015,3288.2,13.493,current
2016,3416.8,13.479,current
2017,3553.5,13.157,current
2018,3701.3,12.808,current
2019,3850.9,12.713,current
2020,3739.4,13.698,current
2021,3850.7,13.28,current
2022,4024.9,12.4,current
2023,4192.6,12.529,current
2024,4367.9,12.61,current
