province,year,grdp_pc_rupiah_current,gdp_pc_usd_const2015,agriculture_pct_grdp,manufacturing_pct_grdp
SULAWESI BARAT,2024,42717730,2389.2,46.109,10.41
GORONTALO,2024,44437140,2485.4,37.288,4.393
JAMBI,2024,86774890,4853.4,33.91,9.755
ACEH,2024,43782220,2448.8,30.969,4.713
BENGKULU,2024,49233120,2753.6,29.828,5.189
NUSA TENGGARA TIMUR,2024,24302960,1359.3,28.839,1.399
RIAU,2024,165349710,9248.1,27.113,28.119
LAMPUNG,2024,51386840,2874.1,26.292,18.899
SUMATERA UTARA,2024,73574620,4115.1,24.39,18.364
MALUKU,2024,32198790,1800.9,23.595,6.306
SULAWESI TENGGARA,2024,67839910,3794.3,23.483,9.397
KALIMANTAN TENGAH,2024,79319730,4436.4,22.339,15.721
SULAWESI SELATAN,2024,73573330,4115.0,21.838,13.022
KALIMANTAN BARAT,2024,52702700,2947.7,21.733,15.607
NUSA TENGGARA BARAT,2024,32282170,1805.6,21.45,3.871
PAPUA SELATAN,2024,61621800,3446.5,21.424,5.615
SUMATERA BARAT,2024,57083090,3192.7,21.361,8.367
SULAWESI UTARA,2024,69352240,3878.9,20.591,10.615
KEP. BANGKA BELITUNG,2024,70193320,3926.0,20.266,20.596
PAPUA PEGUNUNGAN,2024,18105380,1012.6,16.373,0.755
SULAWESI TENGAH,2024,120749570,6753.6,15.802,41.184
KALIMANTAN UTARA,2024,198676760,11112.1,14.763,8.269
PAPUA,2024,81009150,4530.9,14.092,2.979
SUMATERA SELATAN,2024,75131730,4202.2,13.548,18.292
BALI,2024,67318280,3765.2,13.426,6.254
JAWA TENGAH,2024,47970480,2683.0,13.058,33.815
MALUKU UTARA,2024,71516580,4000.0,12.295,34.42
PAPUA BARAT DAYA,2024,59063540,3303.5,12.15,17.738
KALIMANTAN SELATAN,2024,67122210,3754.2,11.546,10.952
JAWA TIMUR,2024,75770260,4237.9,10.659,30.853
DI YOGYAKARTA,2024,51486050,2879.6,9.954,11.845
KALIMANTAN TIMUR,2024,212116620,11863.8,8.664,18.273
JAWA BARAT,2024,56081860,3136.7,8.416,41.387
PAPUA BARAT,2024,131636450,7362.5,6.727,38.926
BANTEN,2024,70275820,3930.6,5.651,30.349
PAPUA TENGAH,2024,118773530,6643.1,3.686,0.232
KEP. RIAU,2024,161424320,9028.6,2.938,41.037
DKI JAKARTA,2024,344382530,19261.5,0.075,11.494
