year,gdp_pc_usd_const2015,manufacturing_pct_gdp
1983,1139.0,13.428
1984,1191.6,15.063
1985,1195.1,16.367
1986,1240.1,16.758
1987,1276.1,16.945
1988,1324.4,18.474
1989,1396.7,18.138
1990,1470.9,19.893
1991,1545.0,20.956
1992,1617.1,21.756
1993,1693.1,22.305
1994,1790.3,23.348
1995,1905.5,24.133
1996,2021.0,25.617
1997,2081.8,26.793
1998,1780.2,24.996
1999,1767.5,25.995
2000,1828.1,22.66
2001,1868.6,30.755
2002,1926.4,31.953
2003,1991.9,28.253
2004,2065.7,28.066
2005,2155.4,27.408
2006,2244.1,27.538
2007,2355.2,27.048
2008,2464.6,27.814
2009,2546.2,26.355
2010,2670.8,22.039
2011,2799.6,21.761
2012,2930.5,21.451
2013,3055.2,21.029
2014,3170.7,21.075
2015,3288.2,20.986
2016,3416.8,20.523
2017,3553.5,20.16
2018,3701.3,19.863
2019,3850.9,19.704
2020,3739.4,19.866
2021,3850.7,19.243
2022,4024.9,18.336
2023,4192.6,18.667
2024,4367.9,18.984
