province,year,gdp_pc_usd_const2015,manufacturing_pct_grdp
ACEH,2010,2151.5,8.846
SUMATERA UTARA,2010,2435.4,21.306
SUMATERA BARAT,2010,2068.6,11.69
RIAU,2010,6679.9,24.071
JAMBI,2010,2794.6,11.43
SUMATERA SELATAN,2010,2485.2,18.865
BENGKULU,2010,1577.8,6.077
LAMPUNG,2010,1890.1,17.176
KEP. BANGKA BELITUNG,2010,2770.3,25.799
KEP. RIAU,2010,6296.8,37.934
DKI JAKARTA,2010,10688.6,14.198
JAWA BARAT,2010,2010.2,44.511
JAWA TENGAH,2010,1841.0,34.523
DI YOGYAKARTA,2010,1787.6,14.248
JAWA TIMUR,2010,2527.3,29.547
BANTEN,2010,2434.0,39.713
BALI,2010,2299.4,7.001
NUSA TENGGARA BARAT,2010,1488.1,4.579
NUSA TENGGARA TIMUR,2010,892.9,1.266
KALIMANTAN BARAT,2010,1869.8,17.134
KALIMANTAN TENGAH,2010,2439.5,15.362
KALIMANTAN SELATAN,2010,2244.3,13.718
KALIMANTAN TIMUR,2010,11207.7,24.661
SULAWESI UTARA,2010,2176.2,11.044
SULAWESI TENGAH,2010,1874.4,6.615
SULAWESI SELATAN,2010,2042.0,13.744
SULAWESI TENGGARA,2010,2067.5,6.669
GORONTALO,2010,1419.5,4.085
SULAWESI BARAT,2010,1414.1,8.712
MALUKU,2010,1145.4,5.486
MALUKU UTARA,2010,1376.4,5.675
PAPUA BARAT,2010,5179.9,32.698
PAPUA,2010,3717.0,1.893
ACEH,2011,2089.3,8.649
SUMATERA UTARA,2011,2543.2,21.204
SUMATERA BARAT,2011,2145.3,11.715
RIAU,2011,7563.3,22.082
JAMBI,2011,2914.5,11.155
SUMATERA SELATAN,2011,2660.2,17.523
BENGKULU,2011,1638.1,6.095
LAMPUNG,2011,1960.3,17.137
KEP. BANGKA BELITUNG,2011,2895.2,25.268
KEP. RIAU,2011,6471.8,38.048
DKI JAKARTA,2011,11194.9,13.89
JAWA BARAT,2011,2073.5,43.903
JAWA TENGAH,2011,1887.3,34.875
DI YOGYAKARTA,2011,1813.3,14.404
JAWA TIMUR,2011,2640.9,29.148
BANTEN,2011,2495.0,38.491
BALI,2011,2357.3,6.694
NUSA TENGGARA BARAT,2011,1327.0,4.838
NUSA TENGGARA TIMUR,2011,909.1,1.263
KALIMANTAN BARAT,2011,1921.6,17.41
KALIMANTAN TENGAH,2011,2582.0,14.569
KALIMANTAN SELATAN,2011,2371.6,13.062
KALIMANTAN TIMUR,2011,12505.5,19.461
SULAWESI UTARA,2011,2217.7,10.992
SULAWESI TENGAH,2011,2010.8,6.238
SULAWESI SELATAN,2011,2168.1,13.584
SULAWESI TENGGARA,2011,2167.2,6.56
GORONTALO,2011,1460.9,4.092
SULAWESI BARAT,2011,1516.2,8.878
MALUKU,2011,1213.2,5.385
MALUKU UTARA,2011,1427.1,5.34
PAPUA BARAT,2011,5021.2,31.917
PAPUA,2011,3309.5,2.169
ACEH,2012,2088.2,8.607
SUMATERA UTARA,2012,2673.9,20.659
SUMATERA BARAT,2012,2259.4,11.526
RIAU,2012,8165.1,20.6
JAMBI,2012,3064.8,11.269
SUMATERA SELATAN,2012,2821.8,16.547
BENGKULU,2012,1744.7,6.043
LAMPUNG,2012,2055.2,17.512
KEP. BANGKA BELITUNG,2012,3033.1,24.325
KEP. RIAU,2012,6896.8,38.574
DKI JAKARTA,2012,11935.2,13.788
JAWA BARAT,2012,2172.2,43.232
JAWA TENGAH,2012,1965.3,34.954
DI YOGYAKARTA,2012,1869.0,13.259
JAWA TIMUR,2012,2816.7,29.284
