province,year,poverty_headcount_pct,gini_ratio
ACEH,2010,,0.301
ACEH,2011,,0.326
ACEH,2012,19.46,0.32
ACEH,2013,17.6,0.341
ACEH,2014,18.05,0.325
ACEH,2015,17.08,0.334
ACEH,2016,16.73,0.333
ACEH,2017,16.89,0.329
ACEH,2018,15.97,0.325
ACEH,2019,15.32,0.319
ACEH,2020,14.99,0.323
ACEH,2021,15.33,0.324
ACEH,2022,14.64,0.311
ACEH,2023,14.45,0.296
ACEH,2024,14.23,0.294
BALI,2010,,0.366
BALI,2011,,0.407
BALI,2012,4.18,0.431
BALI,2013,3.95,0.403
BALI,2014,4.53,0.415
BALI,2015,4.74,0.377
BALI,2016,4.25,0.366
BALI,2017,4.25,0.384
BALI,2018,4.01,0.377
BALI,2019,3.79,0.366
BALI,2020,3.78,0.369
BALI,2021,4.53,0.378
BALI,2022,4.57,0.363
BALI,2023,4.25,0.362
BALI,2024,4,0.361
BANTEN,2010,,0.419
BANTEN,2011,,0.404
BANTEN,2012,5.85,0.387
BANTEN,2013,5.74,0.399
BANTEN,2014,5.35,0.395
BANTEN,2015,5.9,0.401
BANTEN,2016,5.42,0.394
BANTEN,2017,5.45,0.382
BANTEN,2018,5.24,0.385
BANTEN,2019,5.09,0.365
BANTEN,2020,5.92,0.363
BANTEN,2021,6.66,0.365
BANTEN,2022,6.16,0.363
BANTEN,2023,6.17,0.368
BANTEN,2024,5.84,0.353
BENGKULU,2010,,0.365
BENGKULU,2011,,0.36
BENGKULU,2012,17.7,0.354
BENGKULU,2013,18.34,0.386
BENGKULU,2014,17.48,0.356
BENGKULU,2015,17.88,0.376
BENGKULU,2016,17.32,0.357
BENGKULU,2017,16.45,0.351
BENGKULU,2018,15.43,0.362
BENGKULU,2019,15.23,0.34
BENGKULU,2020,15.03,0.334
BENGKULU,2021,15.22,0.326
BENGKULU,2022,14.62,0.315
BENGKULU,2023,14.04,0.333
BENGKULU,2024,13.56,0.342
DI YOGYAKARTA,2010,,0.407
DI YOGYAKARTA,2011,,0.401
DI YOGYAKARTA,2012,16.05,0.434
DI YOGYAKARTA,2013,15.43,0.439
DI YOGYAKARTA,2014,15,0.419
DI YOGYAKARTA,2015,14.91,0.433
DI YOGYAKARTA,2016,13.34,0.42
DI YOGYAKARTA,2017,13.02,0.432
DI YOGYAKARTA,2018,12.13,0.441
DI YOGYAKARTA,2019,11.7,0.423
DI YOGYAKARTA,2020,12.28,0.434
DI YOGYAKARTA,2021,12.8,0.441
DI YOGYAKARTA,2022,11.34,0.439
DI YOGYAKARTA,2023,11.04,0.449
DI YOGYAKARTA,2024,10.83,0.435
DKI JAKARTA,2010,,0.361
DKI JAKARTA,2011,,0.438
DKI JAKARTA,2012,3.69,0.421
DKI JAKARTA,2013,3.55,0.433
DKI JAKARTA,2014,3.92,0.431
DKI JAKARTA,2015,3.93,0.431
DKI JAKARTA,2016,3.75,0.411
DKI JAKARTA,2017,3.77,0.413
DKI JAKARTA,2018,3.57,0.394
DKI JAKARTA,2019,3.47,0.394
DKI JAKARTA,2020,4.53,0.399
DKI JAKARTA,2021,4.72,0.409
DKI JAKARTA,2022,4.69,0.423
DKI JAKARTA,2023,4.44,0.431
DKI JAKARTA,2024,4.3,0.423
GORONTALO,2010,,0.431
GORONTALO,2011,,0.459
GORONTALO,2012,17.33,0.437
GORONTALO,2013,17.51,0.437
GORONTALO,2014,17.44,0.412
GORONTALO,2015,18.32,0.42
GORONTALO,2016,17.72,0.419
GORONTALO,2017,17.65,0.43
GORONTALO,2018,16.81,0.403
GORONTALO,2019,15.52,0.407
GORONTALO,2020,15.22,0.408
GORONTALO,2021,15.61,0.408
GORONTALO,2022,15.42,0.418
GORONTALO,2023,15.15,0.417
GORONTALO,2024,14.57,0.414
INDONESIA,2010,,0.378
INDONESIA,2011,,0.41
INDONESIA,2012,11.96,0.41
INDONESIA,2013,11.37,0.413
INDONESIA,2014,11.25,0.406
INDONESIA,2015,11.22,0.408
INDONESIA,2016,10.86,0.397
INDONESIA,2017,10.64,0.393
INDONESIA,2018,9.82,0.389
INDONESIA,2019,9.41,0.382
INDONESIA,2020,9.78,0.381
INDONESIA,2021,10.14,0.384
INDONESIA,2022,9.54,0.384
INDONESIA,2023,9.36,0.388
INDONESIA,2024,9.03,0.379
JAMBI,2010,,0.304
JAMBI,2011,,0.34
JAMBI,2012,8.42,0.345
JAMBI,2013,8.07,0.348
JAMBI,2014,7.92,0.329
JAMBI,2015,8.86,0.361
JAMBI,2016,8.41,0.349
JAMBI,2017,8.19,0.335
JAMBI,2018,7.92,0.334
JAMBI,2019,7.6,0.321
JAMBI,2020,7.58,0.32
JAMBI,2021,8.09,0.321
JAMBI,2022,7.62,0.32
JAMBI,2023,7.58,0.343
JAMBI,2024,7.1,0.321
JAWA BARAT,2010,,0.356
JAWA BARAT,2011,,0.411
JAWA BARAT,2012,10.09,0.412
JAWA BARAT,2013,9.52,0.411
JAWA BARAT,2014,9.44,0.413
JAWA BARAT,2015,9.53,0.415
JAWA BARAT,2016,8.95,0.413
JAWA BARAT,2017,8.71,0.403
JAWA BARAT,2018,7.45,0.407
JAWA BARAT,2019,6.91,0.402
JAWA BARAT,2020,7.88,0.403
JAWA BARAT,2021,8.4,0.412
JAWA BARAT,2022,8.06,0.417
JAWA BARAT,2023,7.62,0.425
JAWA BARAT,2024,7.46,0.421
JAWA TENGAH,2010,,0.341
JAWA TENGAH,2011,,0.383
JAWA TENGAH,2012,15.34,0.383
JAWA TENGAH,2013,14.56,0.387
JAWA TENGAH,2014,14.46,0.376
JAWA TENGAH,2015,13.58,0.382
JAWA TENGAH,2016,13.27,0.366
JAWA TENGAH,2017,13.01,0.365
JAWA TENGAH,2018,11.32,0.378
JAWA TENGAH,2019,10.8,0.361
JAWA TENGAH,2020,11.41,0.362
JAWA TENGAH,2021,11.79,0.372
JAWA TENGAH,2022,10.93,0.374
JAWA TENGAH,2023,10.77,0.369
JAWA TENGAH,2024,10.47,0.367
JAWA TIMUR,2010,,0.337
JAWA TIMUR,2011,,0.374
JAWA TIMUR,2012,13.4,0.357
JAWA TIMUR,2013,12.55,0.364
JAWA TIMUR,2014,12.42,0.369
JAWA TIMUR,2015,12.34,0.415
JAWA TIMUR,2016,12.05,0.402
JAWA TIMUR,2017,11.77,0.396
JAWA TIMUR,2018,10.98,0.379
JAWA TIMUR,2019,10.37,0.37
JAWA TIMUR,2020,11.09,0.366
JAWA TIMUR,2021,11.4,0.374
JAWA TIMUR,2022,10.38,0.371
JAWA TIMUR,2023,10.35,0.387
JAWA TIMUR,2024,9.79,0.372
KALIMANTAN BARAT,2010,,0.37
KALIMANTAN BARAT,2011,,0.401
KALIMANTAN BARAT,2012,8.17,0.381
KALIMANTAN BARAT,2013,8.24,0.396
