panel,series,year,value
trade_gdp,world,1970,25.75
trade_gdp,world,1971,25.79
trade_gdp,world,1972,25.98
trade_gdp,world,1973,29.0
trade_gdp,world,1974,33.74
trade_gdp,world,1975,31.94
trade_gdp,world,1976,32.73
trade_gdp,world,1977,33.09
trade_gdp,world,1978,33.49
trade_gdp,world,1979,35.66
trade_gdp,world,1980,38.63
trade_gdp,world,1981,39.07
trade_gdp,world,1982,37.06
trade_gdp,world,1983,36.22
trade_gdp,world,1984,37.51
trade_gdp,world,1985,37.06
trade_gdp,world,1986,34.59
trade_gdp,world,1987,35.86
trade_gdp,world,1988,37.66
trade_gdp,world,1989,38.05
trade_gdp,world,1990,38.1
trade_gdp,world,1991,37.76
trade_gdp,world,1992,40.65
trade_gdp,world,1993,40.17
trade_gdp,world,1994,41.02
trade_gdp,world,1995,42.74
trade_gdp,world,1996,42.82
trade_gdp,world,1997,44.63
trade_gdp,world,1998,45.29
trade_gdp,world,1999,45.76
trade_gdp,world,2000,50.12
trade_gdp,world,2001,49.01
trade_gdp,world,2002,49.0
trade_gdp,world,2003,50.66
trade_gdp,world,2004,54.19
trade_gdp,world,2005,56.22
trade_gdp,world,2006,58.36
trade_gdp,world,2007,58.74
trade_gdp,world,2008,60.32
trade_gdp,world,2009,51.89
trade_gdp,world,2010,56.19
trade_gdp,world,2011,59.31
trade_gdp,world,2012,59.3
trade_gdp,world,2013,58.63
trade_gdp,world,2014,58.03
trade_gdp,world,2015,55.62
trade_gdp,world,2016,53.79
trade_gdp,world,2017,55.46
trade_gdp,world,2018,56.99
trade_gdp,world,2019,55.8
trade_gdp,world,2020,51.87
trade_gdp,world,2021,56.5
trade_gdp,world,2022,62.15
trade_gdp,world,2023,58.07
trade_gdp,world,2024,56.72
trade_restrictions,goods,2009,48.0
trade_restrictions,goods,2010,60.0
trade_restrictions,goods,2011,78.0
trade_restrictions,goods,2012,100.0
trade_restrictions,goods,2013,120.0
trade_restrictions,goods,2014,200.0
trade_restrictions,goods,2015,250.0
trade_restrictions,goods,2016,300.0
trade_restrictions,goods,2017,360.0
trade_restrictions,goods,2018,430.0
trade_restrictions,goods,2019,620.0
trade_restrictions,goods,2020,850.0
trade_restrictions,goods,2021,1150.0
trade_restrictions,goods,2022,1250.0
trade_restrictions,investment,2009,8.0
trade_restrictions,investment,2010,10.0
trade_restrictions,investment,2011,14.0
trade_restrictions,investment,2012,18.0
trade_restrictions,investment,2013,20.0
trade_restrictions,investment,2014,30.0
trade_restrictions,investment,2015,35.0
trade_restrictions,investment,2016,40.0
trade_restrictions,investment,2017,45.0
trade_restrictions,investment,2018,50.0
trade_restrictions,investment,2019,60.0
trade_restrictions,investment,2020,80.0
trade_restrictions,investment,2021,100.0
trade_restrictions,investment,2022,110.0
trade_restrictions,services,2009,4.0
trade_restrictions,services,2010,5.0
trade_restrictions,services,2011,8.0
trade_restrictions,services,2012,12.0
trade_restrictions,services,2013,20.0
trade_restrictions,services,2014,50.0
trade_restrictions,services,2015,65.0
trade_restrictions,services,2016,90.0
trade_restrictions,services,2017,115.0
trade_restrictions,services,2018,170.0
trade_restrictions,services,2019,300.0
trade_restrictions,services,2020,450.0
trade_restrictions,services,2021,650.0
trade_restrictions,services,2022,790.0
vote_share,far-left,1900,0.0
vote_share,far-left,1905,0.0
vote_share,far-left,1910,0.0
vote_share,far-left,1915,0.0
vote_share,far-left,1920,1.62
vote_share,far-left,1925,2.42
vote_share,far-left,1930,0.86
vote_share,far-left,1935,1.34
vote_share,far-left,1940,1.73
vote_share,far-left,1945,6.41
vote_share,far-left,1950,4.07
vote_share,far-left,1955,4.21
vote_share,far-left,1960,4.74
vote_share,far-left,1965,4.88
vote_share,far-left,1970,4.7
vote_share,far-left,1975,5.24
vote_share,far-left,1980,5.13
vote_share,far-left,1985,6.04
vote_share,far-left,1990,5.66
vote_share,far-left,1995,5.45
vote_share,far-left,2000,5.44
vote_share,far-left,2005,6.15
vote_share,far-left,2010,5.99
vote_share,far-left,2015,7.8
vote_share,far-left,2020,5.61
vote_share,far-right,1900,0.0
vote_share,far-right,1905,0.0
vote_share,far-right,1910,0.0
vote_share,far-right,1915,1.0
vote_share,far-right,1920,0.64
vote_share,far-right,1925,1.5
vote_share,far-right,1930,0.67
vote_share,far-right,1935,1.61
vote_share,far-right,1940,1.51
vote_share,far-right,1945,1.0
vote_share,far-right,1950,1.34
vote_share,far-right,1955,1.86
vote_share,far-right,1960,1.53
vote_share,far-right,1965,1.08
vote_share,far-right,1970,2.36
vote_share,far-right,1975,1.97
vote_share,far-right,1980,1.67
vote_share,far-right,1985,2.71
vote_share,far-right,1990,5.96
vote_share,far-right,1995,7.75
vote_share,far-right,2000,7.16
vote_share,far-right,2005,8.89
vote_share,far-right,2010,10.07
vote_share,far-right,2015,14.22
vote_share,far-right,2020,12.98
vote_share,mainstream,1900,100.0
vote_share,mainstream,1905,100.0
vote_share,mainstream,1910,100.0
vote_share,mainstream,1915,97.61
vote_share,mainstream,1920,96.72
vote_share,mainstream,1925,94.66
vote_share,mainstream,1930,94.91
vote_share,mainstream,1935,95.58
vote_share,mainstream,1940,89.97
vote_share,mainstream,1945,90.76
vote_share,mainstream,1950,93.59
vote_share,mainstream,1955,90.94
vote_share,mainstream,1960,92.07
vote_share,mainstream,1965,92.69
vote_share,mainstream,1970,90.29
vote_share,mainstream,1975,90.15
vote_share,mainstream,1980,91.87
vote_share,mainstream,1985,89.79
vote_share,mainstream,1990,83.88
vote_share,mainstream,1995,81.84
vote_share,mainstream,2000,76.55
vote_share,mainstream,2005,75.9
vote_share,mainstream,2010,73.43
vote_share,mainstream,2015,69.85
vote_share,mainstream,2020,66.34
vote_share,populist-other,1900,0.0
vote_share,populist-other,1905,0.0
vote_share,populist-other,1910,0.0
vote_share,populist-other,1915,1.39
vote_share,populist-other,1920,1.02
vote_share,populist-other,1925,1.42
vote_share,populist-other,1930,3.56
vote_share,populist-other,1935,1.47
vote_share,populist-other,1940,6.78
vote_share,populist-other,1945,1.83
vote_share,populist-other,1950,1.0
vote_share,populist-other,1955,2.98
vote_share,populist-other,1960,1.66
vote_share,populist-other,1965,1.34
vote_share,populist-other,1970,2.65
vote_share,populist-other,1975,2.65
vote_share,populist-other,1980,1.33
vote_share,populist-other,1985,1.46
vote_share,populist-other,1990,4.5
vote_share,populist-other,1995,4.96
vote_share,populist-other,2000,10.86
vote_share,populist-other,2005,9.05
vote_share,populist-other,2010,10.51
vote_share,populist-other,2015,8.14
vote_share,populist-other,2020,15.08
