cnt,nm,gp,wi,bw
CHN,China,8.12091058871438,5.901464342788686,2.2194462459256945
MMR,Myanmar,7.185893572692459,5.5651995647973465,1.620694007895112
IND,India,4.717904706945397,3.5862435044455325,1.1316612024998651
VNM,Viet Nam,4.131208931014663,2.323239344247389,1.807969586767274
LAO,Laos,4.11612360419078,1.9388322092252184,2.1772913949655615
BGD,Bangladesh,3.882904484862104,2.1118249820415342,1.7710795028205693
NPL,Nepal,3.6747577136774012,2.0145472623694274,1.6602104513079734
TWN,Chinese Taipei,3.53292647679071,3.1466631463323025,0.3862633304584077
ETH,Ethiopia,3.474502257729273,1.6949597325426384,1.779542525186634
LKA,Sri Lanka,3.447210222677932,2.8337302734650036,0.6134799492129289
MOZ,Mozambique,3.425632278550683,2.4231095598652863,1.0025227186853962
KOR,Republic of Korea,3.4106059872643035,3.1606170733223324,0.2499889139419714
KHM,Cambodia,3.3649045402482702,1.4612266876941593,1.903677852554111
RWA,Rwanda,3.295872608419037,0.7486554242772556,2.5472171841417817
LSO,Lesotho,3.183690109485715,3.0782557633865775,0.10543434609913731
MUS,Mauritius,3.160226415737677,2.4299537062702665,0.7302727094674104
TZA,Tanzania,3.1042541392283685,1.6107003110648783,1.4935538281634901
BFA,Burkina Faso,3.076687664414468,1.2580392813758916,1.8186483830385767
THA,Thailand,2.993544828733574,1.5301324922951143,1.4634123364384597
SGP,Singapore,2.7524128903182454,3.242456854412057,-0.4900439640938117
GHA,Ghana,2.739630912375124,2.3700296647820447,0.3696012475930792
UGA,Uganda,2.6979167765073475,1.6809407913318364,1.0169759851755114
MAR,Morocco,2.5796272920336483,2.201067697289559,0.37855959474408896
MYS,Malaysia,2.4955613225948747,2.266402865713589,0.22915845688128575
IDN,Indonesia,2.4495967078105307,1.2737790293854387,1.1758176784250918
PHL,Philippines,2.3981540303927185,1.5963054180130538,0.8018486123796646
ZMB,Zambia,2.359084683080237,1.4554961769640393,0.9035885061161977
HKG,Hong Kong,2.2891297707501312,2.032554343403537,0.25657542734659416
CHL,Chile,2.2016959261308644,2.313177424051479,-0.11148149792061422
TUR,Turkey,2.065933036832135,1.1759530730901713,0.8899799637419633
TUN,Tunisia,2.0273098838464287,1.946779842506933,0.08053004133949596
PER,Peru,1.8530773971152437,1.7469379260676725,0.10613947104757122
BOL,Bolivia,1.844457370942898,1.8932593654365804,-0.048801994493682464
EGY,Egypt,1.7692914575993202,2.268580939891532,-0.49928948229221193
MWI,Malawi,1.7503338206301011,0.2544382967689129,1.4958955238611882
NGA,Nigeria,1.4756180091563431,0.7608720017313613,0.7147460074249816
NAM,Namibia,1.4497933962748677,1.8429194657061514,-0.3931260694312836
CRI,Costa Rica,1.4237454540005245,0.775506247739758,0.6482392062607668
PAK,Pakistan,1.32801911106315,0.7303250120638547,0.5976940989992955
BWA,Botswana,1.319691105430354,1.1523170649640442,0.1673740404663097
COL,Colombia,0.8448387226352994,0.6361579519031549,0.2086807707321444
ARG,Argentina,0.8296611867584902,1.392606119052217,-0.5629449322937268
ZAF,South Africa,0.7346256707151388,1.1000900089742092,-0.3654643382590704
JPN,Japan,0.6575324470969868,0.7120001614583834,-0.05446771436139658
SEN,Senegal,0.6337498073096359,-0.08377277469755463,0.7175225820071905
ISR,Israel,0.6324991857697748,0.8504200921843746,-0.21792090641459974
BRA,Brazil,0.24153947923297725,0.1058430725971425,0.13569640663583477
MEX,Mexico,0.22653238596763714,-0.31343177574143566,0.5399641617090728
CMR,Cameroon,0.21417608031888413,-1.1912296444046602,1.4054057247235443
ECU,Ecuador,-0.25097981464655694,-0.42197871082971783,0.17099889618316083
KEN,Kenya,-0.5365054772991873,-0.7327465913967016,0.19624111409751427
